序号,所属区,所属街镇,机构名称,地址,联系电话,jd,wd
144.0,闵行,江川路街道,上海闵行区华哈养老院   ,闵行区昆阳路168号,51103856,121.375764,30.993808
145.0,闵行,江川路街道,上海恩光敬老院,闵行区凤庆路1058号,64635483,121.394549,31.015531
146.0,闵行,古美路街道,上海闵行区平阳敬老院,闵行区平阳路1225号,34174387,121.388862,31.135471
147.0,闵行,古美路街道,上海闵行区古美敬老院,闵行区虹莘路2288弄135号,54162838,121.382056,31.143139
148.0,闵行,莘庄工业区,上海闵行区莘庄工业区敬老院,闵行区联农路588号,52961911,121.391340,31.059591
149.0,闵行,马桥镇,上海闵行区马桥镇敬老院,元松路15号,54842967,121.372658,31.032450
150.0,闵行,浦江镇,上海浦江星堡老年服务有限公司,联航路1505弄5号楼,31001518,121.397081,31.295153
151.0,宝山,长兴镇,上海市宝山区社会福利院,"
长兴镇潘圆公路1666号",56851473,121.462852,31.313375
152.0,宝山,友谊,上海宝康老年公寓,宝山十村106号,56120350,121.491508,31.397486
153.0,宝山,吴淞,上海宝山区海滨新村街道敬老院,永清二村122号,56566635,121.494020,31.388294
154.0,宝山,吴淞,明珠养老院,塘后路70号,51266133,118.168175,24.460810
155.0,宝山,张庙,上海宝山区新康安养院,呼玛四村27号,66229687,121.491980,31.384265
156.0,宝山,大场,上海宝山区德照敬老院,沪太路3651号,51609188,121.408710,31.329144
157.0,宝山,大场,上海星堡老年服务有限公司,环镇南路858弄5号楼,31001500-80108,121.397081,31.295153
158.0,宝山,大场,上海大场长乐养老院,少年村路218号,66610336,121.425688,31.300146
159.0,宝山,顾村,上海宝山区顾村镇敬老院,沪太路5129弄10号,56020482,121.376700,31.360961
160.0,宝山,杨行,上海宝山杨行镇金秋晨曦老年公寓,盘古路1911号, 36417219,121.445453,31.395276
161.0,宝山,杨行,上海宝山区百姓敬老院,杨宗路308号,33852677,121.405018,31.385293
162.0,宝山,月浦,上海宝山区金色晚年敬老院,月罗公路新镇车站南首,56931631,121.399680,31.415088
163.0,宝山,罗店,上海宝山美兰金苑养老院,沪太路6273弄50号,56016351,121.365889,31.379729
164.0,嘉定,马陆镇,上海市退休职工服务中心嘉定公寓,上海市嘉定区马陆镇嘉戬公路685号,59518066,121.294863,31.380181
165.0,嘉定,菊园新区,上海东方老年公寓,上海市嘉定区沪宜公路4800号,69968938,121.221857,31.367076
166.0,嘉定,新成路街道,上海颐康家园养老院,上海市嘉定区澄浏中路3000号,59982116,121.279489,31.384097
167.0,嘉定,安亭镇,上海市安亭社会福利院,上海市嘉定区安亭镇外青松公路10号桥西鸵鸟路,69571982,121.139733,31.309152
168.0,嘉定,南翔镇,上海市嘉定区第一社会福利院,上海市嘉定区嘉好路600号,59928508,121.278217,31.307202
169.0,嘉定,嘉定镇街道,上海市嘉定社会福利院,上海市嘉定区嘉定镇街道北大街301号,69992702,121.246734,31.393219
170.0,嘉定,徐行镇,上海礼爱颐养院,上海市嘉定区徐行镇嘉行公路1257号,59552266,121.254378,31.418054
171.0,金山,枫泾镇,上海金山区枫泾镇第一敬老院,枫杰路65号,57351684,121.152770,30.868105
172.0,金山,枫泾镇,上海金山区枫泾镇第二敬老院,枫泾亭枫公路7038号,57361217,121.210261,30.892188
173.0,金山,朱泾镇,上海金山区朱泾镇第一敬老院,朱泾镇民主村东方红11组,57307697,121.152770,30.868105
174.0,金山,朱泾镇,上海金山区朱泾镇第二敬老院,朱泾镇浦银路240号,57340379,121.210261,30.892188
175.0,金山,亭林镇,上海金山区亭林镇松隐敬老院,松隐大街496号,57381091,121.236259,30.891153
176.0,金山,亭林镇,上海金山区亭林镇敬老院,金山区亭林镇桃贤路28号,57233617,121.320983,30.881840
177.0,金山,亭林镇,上海金山区亭林镇第二敬老院,金山区亭林镇大通路14号,67968831,121.313204,30.881035
178.0,金山,工业区,上海金山工业区敬老院,金山工业区高林路128号,57273102,121.335570,30.847279
179.0,金山,漕泾镇,上海金山区漕泾镇敬老院,金山区漕泾镇中一西路488号,57251338,121.406661,30.796479
180.0,金山,山阳镇,上海金山区山阳镇敬老院,山阳镇山倪路1600号,57241684,121.370576,30.759578
181.0,金山,金山卫镇,上海金山区金山卫镇敬老院,金山卫镇张桥村刘建路2143号,57298868,121.258147,30.757745
182.0,金山,廊下镇,上海金山区廊下镇敬老院,廊下镇廊华公路156号,02157391299,121.182660,30.780024
183.0,金山,吕巷镇,上海金山区吕巷镇敬老院,金山区吕巷镇太平村蒋巷1组4070号,57371549,121.181780,30.849641
184.0,金山,张堰镇,上海金山区张堰镇敬老院,张漕公路28号,57203330,121.290691,30.801414
185.0,金山,石化新村,上海市金山区社会福利院,海棠新村70号,37316039,121.349335,30.719909
186.0,金山,朱泾镇,上海金山区东林养老院,朱泾镇东风南路185号,57319341,121.165121,30.888078
187.0,金山,亭林镇,上海金福居敬老院,上海金山区车亭公路3466号,021-57237111-8001,121.323544,30.898804
188.0,金山,山阳镇,上海金山区山阳镇养老院,山阳镇向阳西路88号,57241224,121.371655,30.766598
189.0,金山,张堰镇,上海张堰老年公寓,张堰大街199号,57213008,121.288227,30.803746
190.0,金山,金山卫镇,上海金夕老年公寓,秦弯路1155弄19号,57291028,121.247692,30.772833
191.0,金山,朱泾镇,上海新农普度养老院,朱泾镇慧农村5008号,57341163,121.217813,30.880625
192.0,金山,朱泾镇,上海颐和苑老年服务中心,上海金山区朱泾镇金石北路7666号,37284268,121.198084,30.885638
193.0,松江,方松街道,松江社会福利院分院,龙腾路1155号,57700888,121.208264,31.064036
194.0,松江,车墩镇,车墩敬老院,车墩镇长溇村160号,57601428,121.287873,30.970917
195.0,松江,新桥镇,新桥敬老院,新桥镇申浜路288号,57641925,116.445709,25.869659
196.0,松江,叶榭镇,叶榭敬老院,叶榭镇滟东路1号,57886088,121.281119,30.926994
197.0,松江,石湖荡镇,石湖荡敬老院,石湖荡镇金胜村313号,57841318,126.291313,41.509365
198.0,松江,小昆山镇,小昆山敬老院,小昆山镇玉昆路660号,57765338,121.025871,31.374463
199.0,松江,九亭镇,唐人百老汇福利院,九亭镇龙高路815号,67626005,121.307465,31.122488
200.0,松江,叶榭镇,蓝色港湾福利院,叶榭镇辕门路111号,57887242,121.364365,31.135584
201.0,青浦,赵巷镇,上海市青浦区赵巷镇康宁养护院,青浦区赵巷镇赵华路470号,59754542,121.196926,31.151608
202.0,青浦,徐泾镇,上海市青浦区徐泾镇明珠路养护院,徐泾镇明珠路305号,59766826,121.269660,31.169976
203.0,青浦,华新镇,上海市青浦区华新镇康华养护院,华新镇华强街495号,59794395,121.227648,31.240868
204.0,青浦,朱家角镇,上海市青浦区朱家角镇沈巷养护院,朱家角镇沈巷路246号,59835126,121.046326,31.103717
205.0,青浦,练塘镇,上海市青浦区练塘镇九峰养护院,练塘镇朱枫公路3169弄10号,59250699,121.044942,31.002634
206.0,青浦,夏阳街道,上海市青浦区夏阳街道安康养护院,夏阳街道王仙村588号,59716490,121.126023,31.148256
207.0,青浦,香花桥街道,上海市青浦区亚莱菲养护院,北青公路普光路209号,59705068,121.133500,31.187527
208.0,青浦,夏阳街道,上海青浦区冉升塔湾新天地养老院,沪青平公路5251号,59721990,121.115780,31.134819
209.0,青浦,夏阳街道,上海中福会养老院,青浦区公园东路1126号,33863535,121.139292,31.154238
210.0,青浦,夏阳街道,上海健乐颐养园                                                            ,庆丰路888号,69209681,121.145663,31.127890
211.0,奉贤,南桥镇,上海市奉贤区福利院,南桥镇古华路119号 ,57191303,121.467917,30.905349
212.0,奉贤,庄行镇,上海奉贤区乐慧养老院,庄行镇安邬路188号,57404312,121.397775,30.962276
213.0,奉贤,奉城镇,上海奉贤区维丰颐养院,奉城镇幸福村一支路58号,18901948800,121.648070,30.941920
214.0,奉贤,南桥镇,上海奉贤区南桥镇光明村养老院,南桥镇光明社区光钱路195号,57473052,121.505884,30.911411
215.0,奉贤,南桥镇,上海奉贤区明馨艺术养老院,南桥镇金海路2488号,61909190,121.502141,30.892755
216.0,奉贤,青村镇,上海奉贤区兰公馆养老院,青村镇南奉公路4999号,33616555,121.537473,30.921850
217.0,奉贤,金汇镇,上海奉贤区金汇养老院,金汇镇金钱公路718号,57480578,121.499795,30.983162
218.0,奉贤,青村镇,上海奉贤区金苹果养老院,青村镇南奉公路4146号,31115700,121.553379,30.927644
219.0,奉贤,庄行镇,上海新华老年公寓,庄行镇南亭公路4388号,57467029,121.368567,30.895113
220.0,崇明,三星镇,上海崇明区三星敬老院,三星镇协进村496号,59601521,121.290550,31.750640
221.0,崇明,庙镇,上海市崇明江龙老年公寓,庙镇宏海路88号,69361001,121.367734,31.678778
222.0,崇明,庙镇,上海市崇明区庙镇江合养护院,庙镇合作公路1293号,59387095,121.364839,31.741059
223.0,崇明,新河镇,上海崇明县新河敬老院,新河镇石路村1158号,59681364,121.539498,31.580017
224.0,崇明,竖新镇,上海崇明嘉龙养老院,竖新镇大东村68号,59492207,121.616764,31.609541
225.0,崇明,堡镇,上海海科福利院,堡镇北堡支路60号,39661590,121.635894,31.560405
226.0,崇明,向化镇,上海五福原野养老院,向化镇齐东714号,59449212,121.770829,31.577387
227.0,崇明,中兴镇,上海崇明区广福养老院,中兴镇红星村5队,39440037,121.772117,31.516583
228.0,崇明,陈家镇,上海蘭馨福利院,陈家镇裕西村5队,59402078,121.812960,31.543985
229.0,市属,枫林街道,上海市第一社会福利院,徐汇区宛平南路465号,31758006,121.448314,31.189929
230.0,市属,杨行镇,上海市第三社会福利院,宝山区漠河路655号,36213332,121.468270,31.407871
231.0,市属,永丰街道,上海市第四社会福利院,松江区松汇西路1172号,57822397,121.216816,31.003965
232.0,市属,南翔镇,众仁公寓,南翔众仁路1号,59127991,108.777397,22.324236
233.0,市属,菊园新区,众仁老人乐园,平城路160号,69905328,116.491259,23.244104
